episode_id,failure_mode,service,elapsed_s,timestamp,log_level,exception_type,log_message
ep_00000_NONE,NONE,auth-service,0,1700327285,INFO,,OK cpu=39% p99=122ms err=0.78%
ep_00000_NONE,NONE,auth-service,2,1700327287,INFO,,OK cpu=38% p99=123ms err=0.98%
ep_00000_NONE,NONE,auth-service,4,1700327289,INFO,,OK cpu=33% p99=127ms err=0.68%
ep_00000_NONE,NONE,auth-service,6,1700327291,INFO,,OK cpu=36% p99=112ms err=0.86%
ep_00000_NONE,NONE,auth-service,8,1700327293,INFO,,OK cpu=32% p99=118ms err=0.15%
ep_00000_NONE,NONE,auth-service,10,1700327295,INFO,,OK cpu=29% p99=117ms err=1.96%
ep_00000_NONE,NONE,auth-service,12,1700327297,INFO,,OK cpu=32% p99=104ms err=0.87%
ep_00000_NONE,NONE,auth-service,14,1700327299,INFO,,OK cpu=44% p99=127ms err=0.77%
ep_00000_NONE,NONE,auth-service,16,1700327301,INFO,,OK cpu=34% p99=142ms err=0.68%
ep_00000_NONE,NONE,auth-service,18,1700327303,INFO,,OK cpu=35% p99=130ms err=0.37%
ep_00000_NONE,NONE,auth-service,20,1700327305,INFO,,OK cpu=37% p99=142ms err=0.39%
ep_00000_NONE,NONE,auth-service,22,1700327307,INFO,,OK cpu=32% p99=128ms err=0.69%
ep_00000_NONE,NONE,auth-service,24,1700327309,INFO,,OK cpu=44% p99=127ms err=0.13%
ep_00000_NONE,NONE,auth-service,26,1700327311,INFO,,OK cpu=34% p99=125ms err=0.64%
ep_00000_NONE,NONE,auth-service,28,1700327313,INFO,,OK cpu=39% p99=112ms err=1.11%
ep_00000_NONE,NONE,auth-service,30,1700327315,INFO,,OK cpu=32% p99=95ms err=1.02%
ep_00000_NONE,NONE,auth-service,32,1700327317,INFO,,OK cpu=35% p99=98ms err=1.86%
ep_00000_NONE,NONE,auth-service,34,1700327319,INFO,,OK cpu=30% p99=108ms err=1.44%
ep_00000_NONE,NONE,auth-service,36,1700327321,INFO,,OK cpu=26% p99=117ms err=0.30%
ep_00000_NONE,NONE,auth-service,38,1700327323,INFO,,OK cpu=41% p99=113ms err=1.50%
ep_00000_NONE,NONE,auth-service,40,1700327325,INFO,,OK cpu=29% p99=105ms err=1.98%
ep_00000_NONE,NONE,auth-service,42,1700327327,INFO,,OK cpu=44% p99=130ms err=1.82%
ep_00000_NONE,NONE,auth-service,44,1700327329,INFO,,OK cpu=31% p99=93ms err=1.53%
ep_00000_NONE,NONE,auth-service,46,1700327331,INFO,,OK cpu=24% p99=118ms err=2.34%
ep_00000_NONE,NONE,auth-service,48,1700327333,INFO,,OK cpu=30% p99=110ms err=0.24%
ep_00000_NONE,NONE,auth-service,50,1700327335,INFO,,OK cpu=27% p99=144ms err=3.22%
ep_00000_NONE,NONE,auth-service,52,1700327337,INFO,,OK cpu=29% p99=123ms err=1.17%
ep_00000_NONE,NONE,auth-service,54,1700327339,INFO,,OK cpu=34% p99=104ms err=0.58%
ep_00000_NONE,NONE,auth-service,56,1700327341,INFO,,OK cpu=38% p99=101ms err=0.60%
ep_00000_NONE,NONE,auth-service,58,1700327343,INFO,,OK cpu=31% p99=127ms err=0.60%
ep_00000_NONE,NONE,auth-service,60,1700327345,INFO,,OK cpu=37% p99=99ms err=1.39%
ep_00000_NONE,NONE,auth-service,62,1700327347,INFO,,OK cpu=33% p99=120ms err=0.71%
ep_00000_NONE,NONE,auth-service,64,1700327349,INFO,,OK cpu=36% p99=120ms err=0.05%
ep_00000_NONE,NONE,auth-service,66,1700327351,INFO,,OK cpu=40% p99=149ms err=0.40%
ep_00000_NONE,NONE,auth-service,68,1700327353,INFO,,OK cpu=38% p99=102ms err=0.06%
ep_00000_NONE,NONE,auth-service,70,1700327355,INFO,,OK cpu=35% p99=118ms err=1.28%
ep_00000_NONE,NONE,auth-service,72,1700327357,INFO,,OK cpu=27% p99=121ms err=1.70%
ep_00000_NONE,NONE,auth-service,74,1700327359,INFO,,OK cpu=37% p99=108ms err=1.24%
ep_00000_NONE,NONE,auth-service,76,1700327361,INFO,,OK cpu=39% p99=125ms err=0.86%
ep_00000_NONE,NONE,auth-service,78,1700327363,INFO,,OK cpu=36% p99=114ms err=0.16%
ep_00000_NONE,NONE,auth-service,80,1700327365,INFO,,OK cpu=37% p99=124ms err=2.32%
ep_00000_NONE,NONE,auth-service,82,1700327367,INFO,,OK cpu=37% p99=132ms err=1.50%
ep_00000_NONE,NONE,auth-service,84,1700327369,INFO,,OK cpu=36% p99=91ms err=0.67%
ep_00000_NONE,NONE,auth-service,86,1700327371,INFO,,OK cpu=32% p99=109ms err=1.51%
ep_00000_NONE,NONE,auth-service,88,1700327373,INFO,,OK cpu=40% p99=99ms err=0.43%
ep_00000_NONE,NONE,auth-service,90,1700327375,INFO,,OK cpu=37% p99=122ms err=1.17%
ep_00000_NONE,NONE,auth-service,92,1700327377,INFO,,OK cpu=34% p99=123ms err=1.04%
ep_00000_NONE,NONE,auth-service,94,1700327379,INFO,,OK cpu=33% p99=103ms err=0.91%
ep_00000_NONE,NONE,auth-service,96,1700327381,INFO,,OK cpu=35% p99=134ms err=0.71%
